Category,Precision,Recall,F1-Score,Support
atm_cash,0.9526,1.0000,0.9757,201
automotive,0.9674,1.0000,0.9834,178
bills,1.0000,1.0000,1.0000,181
charity_donations,1.0000,1.0000,1.0000,197
education,0.9591,1.0000,0.9791,211
electronics_technology,1.0000,1.0000,1.0000,218
entertainment,1.0000,1.0000,1.0000,182
fees_charges,0.9792,0.9038,0.9400,208
food_dining,1.0000,0.9851,0.9925,202
fuel,1.0000,1.0000,1.0000,205
gifts_occasions,0.9949,1.0000,0.9974,195
groceries,1.0000,0.9749,0.9873,199
health,0.9954,1.0000,0.9977,218
home_improvement,0.9567,1.0000,0.9779,199
income_salary,1.0000,0.9503,0.9745,181
insurance,1.0000,1.0000,1.0000,184
investments,1.0000,0.9865,0.9932,222
kids_family,1.0000,0.9948,0.9974,192
personal_care,0.9849,1.0000,0.9924,196
pets,1.0000,1.0000,1.0000,205
professional_services,1.0000,0.9519,0.9754,208
rent,0.9949,1.0000,0.9974,195
shopping,0.9901,0.9437,0.9663,213
subscriptions_memberships,1.0000,1.0000,1.0000,210
taxes_government,0.8969,0.9804,0.9368,204
transfers_upi,0.9706,1.0000,0.9851,198
transport,1.0000,1.0000,1.0000,192
travel,1.0000,0.9588,0.9789,194
